iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
ERI,Eritrea,Africa,2021,,,6876.0,71.0,3684041,1866.4287395281433,19.272315373254532,4.17839003,Sub-Saharan Africa,Low income
EST,Estonia,Europe,2021,1808855.0,62.42,195778.0,1544.0,1326064,147638.4246914176,1164.3480254346698,7.47860336,Europe & Central Asia,High income
SWZ,Eswatini,Africa,2021,399616.0,25.07,56016.0,1109.0,1201680,46614.73936488916,922.8746421676319,7.38329172,Sub-Saharan Africa,Lower middle income
ETH,Ethiopia,Africa,2021,10916152.0,,273337.0,4993.0,123379928,2215.408976409842,40.46849500511947,3.2075386,Sub-Saharan Africa,Low income
FLK,Falkland Islands,South America,2021,4407.0,46.7,52.0,0.0,3801,13680.61036569324,0.0,,,
FRO,Faroe Islands,Europe,2021,96235.0,76.3,4576.0,13.0,53117,86149.44368093078,244.74273772991697,,Europe & Central Asia,High income
FJI,Fiji,Oceania,2021,1267045.0,65.13,52898.0,695.0,929769,56893.70155382681,747.497496690038,7.06084681,East Asia & Pacific,Upper middle income
FIN,Finland,Europe,2021,9616819.0,73.73,284783.0,1218.0,5540745,51397.961826433086,219.82603422463947,9.83458328,Europe & Central Asia,High income
FRA,France,Europe,2021,124246736.0,73.21,6371668.0,60631.0,67813000,93959.38831787415,894.0911034757348,12.29229355,Europe & Central Asia,High income
GUF,French Guiana,South America,2021,,,34456.0,266.0,304568,113130.72942659767,873.3681805048462,,,
PYF,French Polynesia,Oceania,2021,329095.0,51.94,29832.0,528.0,306292,97397.25490708214,1723.845219594374,,East Asia & Pacific,High income
GAB,Gabon,Africa,2021,392898.0,7.25,29373.0,223.0,2388997,12295.117993032221,93.34461282287086,2.69024062,Sub-Saharan Africa,Upper middle income
GMB,Gambia,Africa,2021,294698.0,9.22,6344.0,219.0,2705995,2344.424139734183,80.93141339876829,3.19251013,Sub-Saharan Africa,Low income
GEO,Georgia,Asia,2021,2512858.0,30.68,702763.0,11135.0,3744385,187684.49291405664,2973.7860823606547,8.3153286,Europe & Central Asia,Upper middle income
DEU,Germany,Europe,2021,153966358.0,70.96,5353865.0,70683.0,83369840,64218.24727023586,847.8245850058007,12.90171242,Europe & Central Asia,High income
GHA,Ghana,Africa,2021,7755231.0,6.97,86614.0,952.0,33475870,2587.3562061269804,28.438394580932474,3.86030865,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,Europe,2021,108323.0,100.0,6616.0,94.0,32677,202466.56669828933,2876.641062521039,,Europe & Central Asia,High income
GRC,Greece,Europe,2021,17469497.0,67.8,945395.0,15823.0,10384972,91034.91083076585,1523.6439732336303,9.18476486,Europe & Central Asia,High income
GRL,Greenland,North America,2021,78500.0,67.36,2115.0,1.0,56494,37437.603993344426,17.70099479590753,,Europe & Central Asia,High income
GRD,Grenada,North America,2021,78476.0,28.26,5840.0,200.0,125459,46549.07180831985,1594.1462948054743,5.34433317,Latin America & Caribbean,Upper middle income
GLP,Guadeloupe,North America,2021,,,47175.0,676.0,395762,119200.42854038539,1708.0972907959833,,,
GUM,Guam,Oceania,2021,,,8166.0,149.0,171783,47536.717835874326,867.3733722196026,,East Asia & Pacific,High income
GTM,Guatemala,North America,2021,11310579.0,26.27,489858.0,11332.0,17843914,27452.38516616926,635.0624644346527,6.97680426,Latin America & Caribbean,Upper middle income
GGY,Guernsey,Europe,2021,106109.0,21.5,6349.0,7.0,63329,100254.22792085774,110.53387863380127,,,
GIN,Guinea,Africa,2021,2952253.0,6.68,17456.0,309.0,13859349,1259.5108182931249,22.295419503470185,3.7175858,Sub-Saharan Africa,Lower middle income
GNB,Guinea-Bissau,Africa,2021,413938.0,1.1,4019.0,104.0,2105580,1908.7377349708868,49.39256641875398,8.16332626,Sub-Saharan Africa,Low income
GUY,Guyana,South America,2021,715724.0,36.37,32753.0,880.0,808727,40499.451607279094,1088.1298633531462,4.92369986,Latin America & Caribbean,High income
HTI,Haiti,North America,2021,197175.0,0.64,16128.0,531.0,11585003,1392.144654602161,45.8351197664774,3.44216156,Latin America & Caribbean,Lower middle income
HND,Honduras,North America,2021,9589064.0,41.18,260414.0,7368.0,10432858,24960.945505057196,706.2302582858887,9.16101742,Latin America & Caribbean,Lower middle income
HKG,Hong Kong,Asia,2021,9925508.0,62.25,,,7488863,,,,East Asia & Pacific,High income
HUN,Hungary,Europe,2021,15074636.0,60.01,921270.0,29260.0,9967304,92429.20653368253,2935.5982319792793,7.38329268,Europe & Central Asia,High income
ISL,Iceland,Europe,2021,716926.0,76.14,18463.0,9.0,372903,49511.53517134483,24.13496271148261,9.78697014,Europe & Central Asia,High income
IND,India,Asia,2021,1448865422.0,42.57,24598952.0,332060.0,1417173120,17357.760779431097,234.31152857316403,3.34680939,South Asia,Lower middle income
IDN,Indonesia,Asia,2021,274749184.0,41.26,3548394.0,122818.0,275501344,12879.770198144659,445.79818819323077,3.70634937,East Asia & Pacific,Upper middle income
IRN,Iran,Asia,2021,116210697.0,57.81,4987942.0,76774.0,88550568,56328.74088396587,867.0074256327752,5.77013779,Middle East & North Africa,Upper middle income
IRQ,Iraq,Asia,2021,14140578.0,12.67,1501533.0,11355.0,44496124,33745.25385626847,255.1907667283559,5.25095701,Middle East & North Africa,Upper middle income
