income_group,countries,median_vaccination,median_health_spending,median_deaths_per_million,median_equity_index
High income,58,72.85,7.83933687,566.9089132954336,0.575679347826087
Not classified,1,52.88,4.55047369,18.302787465063936,0.4904891304347826
Lower middle income,50,44.334999999999994,4.707639695,17.00835129500561,0.4720108695652174
Upper middle income,51,54.07,6.19368076,196.9316266081525,0.4472826086956522
Low income,24,18.98,6.1140039,5.097779429874876,0.41263586956521736
