region,countries,median_vaccination,median_health_spending,median_deaths_per_million,median_equity_index
East Asia & Pacific,26,73.33,5.279734135,116.987928005311,0.6408967391304348
North America,2,75.83500000000001,13.86523247,640.9660164247773,0.6362771739130435
South Asia,8,70.49,4.374078750000001,18.60590048968519,0.5657608695652174
Europe & Central Asia,47,64.93,7.66357517,582.3333164983004,0.5016304347826087
Latin America & Caribbean,33,55.03,7.18368196,298.59659599880564,0.4904891304347826
Middle East & North Africa,21,51.74,4.67550945,32.340537115136684,0.46793478260869564
Sub-Saharan Africa,47,27.39,4.48389912,5.555816510573476,0.408695652173913
