iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
KIR,Kiribati,Oceania,2022,193491.0,56.3,3430.0,13.0,131237,26135.922034182437,99.05743045025412,10.49855042,East Asia & Pacific,Lower middle income,0.532608695652174,0.907608695652174,0.5380434782608696,0.6279891304347827,45
CAF,Central African Republic,Africa,2022,2354281.0,34.68,3092.0,12.0,5579148,554.2064845743472,2.150866046213508,9.95509052,Sub-Saharan Africa,Low income,0.2717391304347826,0.875,0.9184782608695652,0.6165760869565218,46
KWT,Kuwait,Asia,2022,8255386.0,78.32,248007.0,102.0,4268886,58096.42140830184,23.893821479421096,4.26875782,Middle East & North Africa,High income,0.8043478260869565,0.22282608695652173,0.6630434782608696,0.6165760869565218,46
PAN,Panama,North America,2022,8688567.0,71.75,537401.0,1158.0,4408582,121898.83277661615,262.66949327470826,8.46561432,Latin America & Caribbean,High income,0.7228260869565217,0.7336956521739131,0.3586956521739131,0.6163043478260869,48
DNK,Denmark,Europe,2022,14929608.0,80.09,2684288.0,4515.0,5882259,456336.24768987566,767.5622579692597,9.4758625,Europe & Central Asia,High income,0.8478260869565217,0.8152173913043478,0.08695652173913049,0.611413043478261,49
BHR,Bahrain,Asia,2022,3476633.0,83.33,417096.0,142.0,1472237,283307.6467987152,96.45186203036604,3.83745313,Middle East & North Africa,High income,0.9021739130434783,0.16847826086956522,0.5434782608695652,0.6111413043478261,50
UZB,Uzbekistan,Asia,2022,71888007.0,51.14,50507.0,156.0,34627648,1458.5743738644912,4.505070630266312,7.36325455,Europe & Central Asia,Lower middle income,0.44565217391304346,0.6086956521739131,0.8586956521739131,0.6103260869565218,51
ITA,Italy,Europe,2022,144048328.0,81.2,19438072.0,47638.0,59037472,329249.7348124933,806.9112444381087,9.02753067,Europe & Central Asia,High income,0.8641304347826086,0.7880434782608695,0.06521739130434778,0.6054347826086957,52
SLE,Sierra Leone,Africa,2022,6158679.0,40.03,1101.0,3.0,8605723,127.9381174597416,0.3486052246859444,7.94752312,Sub-Saharan Africa,Low income,0.3179347826086957,0.6902173913043478,0.9565217391304348,0.6025815217391305,53
COM,Comoros,Africa,2022,835021.0,47.45,3379.0,7.0,836783,4038.083947690142,8.365370711403077,8.3803854,Sub-Saharan Africa,Lower middle income,0.42391304347826086,0.717391304347826,0.7717391304347826,0.6016304347826087,54
LSO,Lesotho,Africa,2022,1259488.0,40.16,6308.0,41.0,2305826,2735.6791015453896,17.781046791908842,12.65127754,Sub-Saharan Africa,Lower middle income,0.32608695652173914,0.967391304347826,0.6956521739130435,0.5972826086956522,55
SWE,Sweden,Europe,2022,25511046.0,71.95,1385273.0,6701.0,10549349,131313.60048852302,635.2050728438314,10.49857044,Europe & Central Asia,High income,0.7282608695652174,0.9130434782608695,0.13043478260869568,0.595108695652174,56
COL,Colombia,South America,2022,89787647.0,71.09,1220085.0,12390.0,51874028,23520.151548670947,238.84784886957303,7.57361269,Latin America & Caribbean,Upper middle income,0.717391304347826,0.6413043478260869,0.36413043478260865,0.592391304347826,57
PER,Peru,South America,2022,86772984.0,83.54,2165893.0,15553.0,34049588,63609.9620353703,456.7749835915783,6.0930872,Latin America & Caribbean,Upper middle income,0.907608695652174,0.45652173913043476,0.22282608695652173,0.5894021739130435,58
FIN,Finland,Europe,2022,13149072.0,78.44,1133314.0,6862.0,5540745,204541.8080059631,1238.461614818946,9.6589222,Europe & Central Asia,High income,0.8152173913043478,0.842391304347826,0.016304347826086918,0.582336956521739,59
